PS C:\vs_programms\cam_mlmi4\np_python> python .\try1_example_1d.py
iteration 200, loss 4.722
iteration 15200, loss -7.628
iteration 15400, loss -7.313
iteration 15600, loss -5.597
iteration 15800, loss -4.895
iteration 16000, loss -8.977
Epoch: 15, Avg_loss: -5.564007909327746
iteration 16200, loss -6.501
iteration 16400, loss -8.397
iteration 16600, loss -7.659
iteration 16800, loss -6.528
iteration 17000, loss -5.021
Epoch: 16, Avg_loss: -5.687617062777281
iteration 17200, loss -3.260
iteration 17400, loss -6.536
iteration 17600, loss -8.117
iteration 17800, loss -6.355
iteration 18000, loss -8.903
Epoch: 17, Avg_loss: -5.817482617050409
iteration 18200, loss -5.619
iteration 18400, loss -9.595
iteration 18600, loss -7.590
iteration 18800, loss -6.237
iteration 19000, loss -8.269
Epoch: 18, Avg_loss: -5.923723433554173
iteration 19200, loss 1.728
iteration 19400, loss -2.131
iteration 19600, loss -10.131
iteration 19800, loss -8.664
iteration 20000, loss -4.892
Epoch: 19, Avg_loss: -5.947315386891365
iteration 20200, loss -5.234
iteration 20400, loss -1.735
iteration 20600, loss -5.381
iteration 20800, loss -5.010
iteration 21000, loss -1.829
Epoch: 20, Avg_loss: -6.305464110612869
iteration 21200, loss -8.926
iteration 21400, loss -8.645
iteration 21600, loss -8.517
iteration 21800, loss -8.329
iteration 22000, loss -2.603
Epoch: 21, Avg_loss: -6.476742655515671
iteration 22200, loss -7.245
iteration 22400, loss -4.406
iteration 22600, loss -9.440
iteration 22800, loss -8.875
iteration 23000, loss -5.246
Epoch: 22, Avg_loss: -6.632859971433878
iteration 23200, loss -0.263
iteration 23400, loss -4.471
iteration 23600, loss -4.187
iteration 23800, loss -9.678
iteration 24000, loss -7.171
Epoch: 23, Avg_loss: -6.7270588725358245
iteration 24200, loss -7.804
iteration 24400, loss -7.336
iteration 24600, loss -2.268
iteration 24800, loss -8.565
iteration 25000, loss 1.138
Epoch: 24, Avg_loss: -6.847084754168987
iteration 25200, loss -4.902
iteration 25400, loss -7.401
iteration 25600, loss -9.009
iteration 25800, loss -4.558
iteration 26000, loss -10.686
Epoch: 25, Avg_loss: -6.870238933026791
iteration 26200, loss -3.179
iteration 26400, loss -10.221
iteration 26600, loss -6.808
iteration 26800, loss -8.527
iteration 27000, loss -8.769
Epoch: 26, Avg_loss: -6.89766242235899
iteration 27200, loss -0.637
iteration 27400, loss -4.384
iteration 27600, loss -9.608
iteration 27800, loss -7.600
iteration 28000, loss -8.779
Epoch: 27, Avg_loss: -7.124677260518074
iteration 28200, loss -9.039
iteration 28400, loss -9.251
iteration 28600, loss -4.716
iteration 28800, loss -6.940
iteration 29000, loss -7.504
Epoch: 28, Avg_loss: -7.183929566144943
iteration 29200, loss -6.127
iteration 29400, loss -8.886
iteration 29600, loss -9.780
iteration 29800, loss -6.207
iteration 30000, loss -7.332
Epoch: 29, Avg_loss: -7.334923580944539
